               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.039918,             0.10983,            0.010326,           0.0022947,            0.026604,            0.001199,          0.00025687,             0.10229,             0.30252,            0.021659,            0.002674,            0.002674,            0.002674
                  76,             0.03974,             0.10923,            0.010316,           0.0023033,            0.026664,           0.0012032,          0.00025801,             0.10231,             0.30275,            0.021657,            0.002575,            0.002575,            0.002575
                  77,            0.039633,             0.10909,            0.010275,           0.0023297,            0.026946,           0.0012166,          0.00025752,             0.10227,             0.30332,            0.021642,            0.002476,            0.002476,            0.002476
                  78,            0.039603,             0.10905,            0.010214,           0.0023214,            0.026787,           0.0012113,          0.00025649,             0.10229,             0.30362,             0.02163,            0.002377,            0.002377,            0.002377
                  79,            0.039495,             0.10842,            0.010168,           0.0023057,            0.026571,           0.0012033,          0.00025535,             0.10235,             0.30354,            0.021634,            0.002278,            0.002278,            0.002278
                  80,            0.039364,             0.10839,            0.010124,           0.0023182,            0.026684,           0.0012098,          0.00025664,             0.10238,             0.30372,             0.02163,            0.002179,            0.002179,            0.002179
                  81,            0.039327,             0.10812,            0.010076,           0.0023181,            0.026616,            0.001209,           0.0002552,              0.1024,             0.30398,            0.021654,             0.00208,             0.00208,             0.00208
                  82,            0.039119,             0.10789,           0.0099695,           0.0023197,            0.026572,           0.0012104,          0.00025555,              0.1024,             0.30434,            0.021659,            0.001981,            0.001981,            0.001981
                  83,            0.039002,             0.10709,           0.0099381,            0.002315,            0.026467,           0.0012081,          0.00025528,             0.10242,              0.3047,            0.021667,            0.001882,            0.001882,            0.001882
                  84,            0.038752,             0.10612,           0.0098565,           0.0023355,            0.026626,           0.0012198,          0.00025663,             0.10244,             0.30512,            0.021681,            0.001783,            0.001783,            0.001783
                  85,            0.038823,             0.10645,           0.0098925,           0.0023342,            0.026562,           0.0012184,          0.00025668,             0.10243,             0.30554,            0.021693,            0.001684,            0.001684,            0.001684
                  86,            0.038598,             0.10583,            0.009799,             0.00233,            0.026456,            0.001216,          0.00025749,             0.10245,             0.30587,            0.021708,            0.001585,            0.001585,            0.001585
                  87,            0.038447,             0.10561,           0.0096784,            0.002316,            0.026176,           0.0012085,          0.00025619,             0.10246,             0.30619,            0.021718,            0.001486,            0.001486,            0.001486
                  88,             0.03842,             0.10545,            0.009668,           0.0023451,            0.026439,           0.0012237,          0.00026146,             0.10245,             0.30675,            0.021718,            0.001387,            0.001387,            0.001387
                  89,            0.038281,             0.10504,            0.009626,           0.0023149,            0.026065,           0.0012068,          0.00025867,             0.10246,             0.30706,            0.021728,            0.001288,            0.001288,            0.001288
                  90,            0.038052,             0.10449,           0.0095187,            0.002311,            0.025988,           0.0012043,          0.00025944,             0.10247,             0.30734,            0.021739,            0.001189,            0.001189,            0.001189
                  91,            0.038054,             0.10384,            0.009462,           0.0023192,            0.026054,           0.0012087,          0.00026141,             0.10249,             0.30757,            0.021747,             0.00109,             0.00109,             0.00109
                  92,            0.037713,             0.10298,           0.0094188,           0.0023232,             0.02606,           0.0012109,           0.0002625,             0.10249,               0.308,            0.021753,            0.000991,            0.000991,            0.000991
                  93,            0.037766,             0.10289,           0.0094001,           0.0023059,            0.025815,           0.0012012,          0.00026029,             0.10249,             0.30824,            0.021758,            0.000892,            0.000892,            0.000892
                  94,            0.037541,             0.10242,           0.0092841,           0.0023106,            0.025822,           0.0012031,          0.00026001,             0.10248,             0.30857,            0.021758,            0.000793,            0.000793,            0.000793
                  95,            0.037432,             0.10219,           0.0091888,           0.0023035,              0.0257,           0.0011986,          0.00025948,             0.10249,             0.30897,             0.02177,            0.000694,            0.000694,            0.000694
                  96,            0.037292,             0.10142,           0.0091572,           0.0023297,            0.025911,           0.0012123,          0.00026247,             0.10251,              0.3094,            0.021804,            0.000595,            0.000595,            0.000595
                  97,            0.037253,             0.10129,           0.0090632,           0.0023232,            0.025788,           0.0012083,           0.0002625,             0.10251,             0.30977,            0.021831,            0.000496,            0.000496,            0.000496
                  98,            0.037013,             0.10045,           0.0090562,           0.0023023,            0.025491,           0.0011964,          0.00026128,             0.10252,             0.31014,            0.021851,            0.000397,            0.000397,            0.000397
                  99,             0.03693,             0.10024,           0.0090215,           0.0023204,            0.025648,           0.0012058,          0.00026334,             0.10252,             0.31055,             0.02187,            0.000298,            0.000298,            0.000298
